Project,Files,LOC,LLOC,SLOC,h1,h2,N1,N2,N,Length,Calculated_length,Difficulty,Effort,Time,Halstead_Volume,Cyclomatic_Complexity,Maintainabilty_Index
transformers_4.23.0,./hubconf.py,161,34,36,0,0,0,0,0,0,0,0,0,0,0,1,100
transformers_4.23.0,./conftest.py,77,30,34,2,4,2,4,6,6,10,1,15.5097750043269,0.861654166907052,15.5097750043269,5,87.9601513169638
transformers_4.23.0,./setup.py,442,79,303,3,108,54,108,111,162,734.282737735818,1.5,1651.04305552308,91.7246141957265,1100.69537034872,10,62.8428640283326
transformers_4.23.0,src/transformers/generation_flax_logits_process.py,268,118,122,12,52,42,69,64,111,339.442415351991,7.96153846153846,5302.38461538462,294.576923076923,666,31,60.0977536110766
transformers_4.23.0,src/transformers/feature_extraction_utils.py,576,234,261,10,36,23,39,46,62,219.336581000797,5.41666666666667,1854.99622357581,103.055345754212,342.460841275535,69,49.0981395181566
transformers_4.23.0,src/transformers/modeling_flax_outputs.py,642,211,116,0,0,0,0,0,0,0,0,0,0,0,1,100
transformers_4.23.0,src/transformers/modeling_tf_pytorch_utils.py,492,261,323,13,115,86,161,128,247,835.337072194437,9.1,15733.9,874.105555555556,1729,93,38.2395620963628
transformers_4.23.0,src/transformers/processing_utils.py,233,99,107,8,21,14,24,29,38,116.238665878354,4.57142857142857,843.900698582161,46.8833721434534,184.603277814848,37,63.9228448522255
transformers_4.23.0,src/transformers/activations_tf.py,134,49,57,6,44,26,51,50,77,255.724766224368,3.47727272727273,1511.14249481218,83.952360822899,434.576926612654,3,72.5876169799784
transformers_4.23.0,src/transformers/optimization_tf.py,365,133,207,12,43,27,51,55,78,276.348934460844,7.11627906976744,3209.05799168387,178.280999537993,450.946057654924,47,57.9383145982043
transformers_4.23.0,src/transformers/convert_tf_hub_seq_to_seq_bert_to_pytorch.py,88,26,58,1,2,1,2,3,3,2,0.5,2.37744375108173,0.13208020839343,4.75488750216347,3,90.7293933592469
transformers_4.23.0,src/transformers/debug_utils.py,346,129,132,9,24,16,31,33,47,138.568425030289,5.8125,1378.06541848224,76.5591899156799,237.086523609847,46,56.8954203872318
transformers_4.23.0,src/transformers/tokenization_utils.py,960,395,548,18,177,115,235,195,350,1396.82483239065,11.9491525423729,31815.402625724,1767.52236809578,2662.56560981236,150,28.3342227426208
transformers_4.23.0,src/transformers/convert_pytorch_checkpoint_to_tf2.py,491,93,430,11,39,29,54,50,83,244.184434340638,7.61538461538462,3567.35125472145,198.186180817859,468.440063751302,26,49.6127026616033
